t,x
0.5,0.3
1,0.30275643942049185
1.5,0.2984890788170751
2,0.30252501910463986
2.5,0.29966173234836646
3,0.3032150218111983
3.5,0.3112845600096199
4,0.3197894974824485
4.5,0.32266956531256175
5,0.3183140338427359
5.5,0.3180105956241967
6,0.32656816797865024
6.5,0.332288332482124
7,0.3353847333260259
7.5,0.3404797569113408
8,0.34487807088869166
8.5,0.3424019204221349
9,0.3479230527409753
9.5,0.34840189708543695
10,0.3560411724120186
10.5,0.35898919823419106
11,0.3573076216356366
11.5,0.36529915590821593
12,0.36366075502961553
12.5,0.3545800139899093
13,0.35249736632567846
13.5,0.3556574642084446
14,0.3615031913576636
14.5,0.36440443531426975
15,0.36408421083459963
15.5,0.3588891295101129
16,0.36911448505678873
16.5,0.3739278951225773
17,0.380936806783946
17.5,0.38474116954022447
18,0.3863649178171579
18.5,0.38198600618485146
19,0.3840310675215094
19.5,0.3906809282418956
20,0.39543411769055464
20.5,0.4016169445073701
21,0.4021306573301539
21.5,0.4083536923156276
22,0.4082013455664788
22.5,0.39964620147206126
23,0.4057806020844427
23.5,0.40479866589367863
24,0.40544675977390016
24.5,0.40744314402199466
25,0.40351750574998596
25.5,0.39933418500589124
26,0.4047183004265369
26.5,0.39745692752070233
27,0.39097750227134304
27.5,0.3882304756623318
28,0.391170877042823
28.5,0.39580846563476063
29,0.39210252150516334
29.5,0.3983053193341702
30,0.4001004843827182
30.5,0.40154555161109
31,0.4048894602520884
31.5,0.41656003305900974
32,0.42472004583723616
32.5,0.4335876670512219
33,0.4324735043385232
33.5,0.4380905024254528
34,0.43858682621169714
34.5,0.4436427832487669
35,0.4444972205880512
35.5,0.45399861172280304
36,0.45537973495800227
36.5,0.46140957358814644
37,0.45779933004507856
37.5,0.45961434647035293
38,0.4583871774063655
38.5,0.4610717654687371
39,0.45191578066742466
39.5,0.4306935825617465
40,0.4268357176349381
40.5,0.4199401970574227
41,0.41095710088854576
41.5,0.41452099971511147
42,0.419372824751414
42.5,0.43108549419199665
43,0.42898032659343993
43.5,0.43315904458849275
44,0.42674208443805983
44.5,0.42446125671436696
45,0.43556230167741705
45.5,0.43108692624596917
46,0.43560567376236375
46.5,0.44569354717713516
47,0.4522263185279646
47.5,0.4507124854400004
48,0.4513598231582648
48.5,0.458791378463874
49,0.46498161714136016
49.5,0.45856744619496376
50,0.44830154042941855
50.5,0.444744585751414
51,0.4438183325870578
51.5,0.4398219541450926
52,0.43629216447757596
52.5,0.44351675695581105
53,0.4551362048991201
53.5,0.4566659050831692
54,0.4489513990752349
54.5,0.4503425358362414
55,0.4579664565372787
55.5,0.46806625279950076
56,0.46212404557915526
56.5,0.4648325958331062
57,0.46930669429994726
57.5,0.46753819201669033
58,0.46124292625883073
58.5,0.45618961645178047
59,0.46381588915750227
59.5,0.4606626765972555
60,0.4554379584307538
60.5,0.4638809850519052
61,0.46220592503124747
61.5,0.46515097864707994
62,0.46023973725700074
62.5,0.46467282648447006
63,0.4757690449428535
63.5,0.48755469317589084
64,0.480126249364929
64.5,0.480990987457924
65,0.48544786393052375
65.5,0.4899027269578286
66,0.4825139324626124
66.5,0.48542645724358996
67,0.4778198557551346
67.5,0.4719377070645522
68,0.4768205167905563
68.5,0.48892393295688535
69,0.482531663401277
69.5,0.49118635920914183
70,0.4862402365671103
70.5,0.48486682390507135
71,0.4910472014780865
71.5,0.49840475048937866
72,0.5069637114099398
72.5,0.5127876658088756
73,0.5055937912693462
73.5,0.5085601704357913
74,0.5080623517899305
74.5,0.5058225341944252
75,0.5120527964088291
75.5,0.5166530066698516
76,0.5266101597070914
76.5,0.5237938975672384
77,0.5220859761968553
77.5,0.5251472996239295
78,0.5231173718757605
78.5,0.5205760880165796
79,0.5221442844131684
79.5,0.5231801768494131
80,0.5156565519488124
80.5,0.5028275243308141
81,0.5047996388524738
81.5,0.5129234716612356
82,0.5184725453932978
82.5,0.5167114937076934
83,0.5322131568517309
83.5,0.5217944870737119
84,0.5079955194748937
84.5,0.5122285131320357
85,0.5110996512080668
85.5,0.5014558564521057
86,0.496059186561247
86.5,0.4897058998390336
87,0.4998111957887309
87.5,0.5037712576242352
88,0.4901221018455055
88.5,0.49748096197201425
89,0.5033750474438876
89.5,0.5092839644947675
90,0.5062330071880603
90.5,0.5120653404252533
91,0.5054036481215141
91.5,0.49176946497910917
92,0.49948685815405536
92.5,0.4965710606371434
93,0.4854136812545955
93.5,0.4770660623020637
94,0.4811531587479472
94.5,0.49350405519370377
95,0.49114000933982294
95.5,0.499107171317478
96,0.49472247402771696
96.5,0.49886835293332016
97,0.49134326452424193
97.5,0.502257173637651
98,0.5001355163814246
98.5,0.5001621935224951
99,0.48753298645146087
99.5,0.4824657829868907
100,0.4794477195715728
100.5,0.48209221958285453
101,0.476653996675854
101.5,0.4921416737768797
102,0.4976117031032855
102.5,0.4862452238640613
103,0.4745988547389318
103.5,0.47057040327841176
104,0.4790034829854817
104.5,0.4892203486847612
105,0.47771583760480807
105.5,0.4768000765649336
106,0.46880369132424715
106.5,0.4711863735299052
107,0.46961761305277877
107.5,0.4678842272550352
108,0.45430679534542195
108.5,0.4565195376167505
109,0.44848704844628356
109.5,0.43493782368620215
