t,x
1,10
11,7.6394206083370815
21,6.878567692934758
31,6.0801212380961704
41,6.119978674520757
51,5.89606378876814
61,5.921971129825674
71,5.899100316506667
81,5.419179699034818
91,5.645509603747582
101,5.91246480874767
111,5.388365138546463
121,5.006278709490093
131,4.85426419366352
141,4.845317588696105
151,4.29889922421982
161,4.335807388614147
171,4.544900568212336
181,4.526297999217507
191,4.449718725844351
201,4.091826655994786
211,4.302137905212917
221,4.013112428130735
231,3.8471512733791657
241,3.543129951602373
251,3.0358736004563327
261,2.350294090369355
271,1.3313134210041757
281,0.3205515112267956
291,0.2705913317173882
301,0.3597298113643343
311,0.3513480314788229
321,0.2777435120707892
331,0.31474666333516327
341,0.08175946252199559
351,0
361,0.2571458145866638
371,0.18413594658806348
381,0
391,0.10006993502958747
401,0.002761402324864
411,0.05360017130932268
421,0.0504768679962891
431,0.2306365177969594
441,0.12356934623001432
451,0
461,0.10962430914517327
471,0.40398158601946743
481,0.21913910633016767
491,0.3077881147163084
