t,x
1,0.2
21,0.3661573453746474
41,0.43056865199997996
61,0.4764672620520615
81,0.46517634466462454
101,0.5450254248699794
121,0.4748563411469646
141,0.4781663095591128
161,0.4642039800806999
181,0.5039241704918671
201,0.4804882025314186
221,0.49310116188709074
241,0.48851511905124645
261,0.49114246280984614
281,0.5335821525101043
301,0.6097631484623792
321,0.5983410797571189
341,0.6066955486822629
361,0.5898129244119142
381,0.593630082300253
401,0.5607203744307593
421,0.5158178385056995
441,0.5535406018176845
461,0.5427737642423534
481,0.59947256809009275
501,0.6545340863927032
521,0.5991567965852777
541,0.6490377251182257
561,0.6740149899901092
581,0.6716846813900428
601,0.6230610601467119
621,0.5665759289035319
641,0.5232119904924768
661,0.5297085139872708
681,0.4942790406773239
701,0.4732613179179262
721,0.5036344472475427
741,0.5256436407050582
761,0.6045153468357866
781,0.6279160708815835
801,0.5967480115728717
821,0.5987073273873866
841,0.5467062776905488
861,0.6045337726825734
881,0.6794123566261215
901,0.6871547778864104
921,0.7470334401066298
941,0.7935037211938191
961,0.773021068717599
981,0.7300416701330237
1001,0.7629606908767597
1021,0.8353162141919678
1041,0.9164527939317969
1061,0.9589328275978911
1081,1.0040812835848787
1101,1.0485876896822632
1121,1.0830922619305956
1141,1.1160640711265637
1161,1.1276216031558677
1181,1.1256102551968092
1201,1.1763801455684084
1221,1.1410687269011008
1241,1.1275352367613245
1261,1.2031755948457268
1281,1.282929668546019
1301,1.2500275826667038
1321,1.2295948587306271
1341,1.2181666081648075
1361,1.1920027919917104
1381,1.2118258873331629
1401,1.2376679608851346
1421,1.2717212768053512
1441,1.2498181974655482
1461,1.3044325438791007
1481,1.2320657544670102
1501,1.320522852988633
1521,1.33662746613145
1541,1.3545388999949215
1561,1.3319151477804851
1581,1.300411917601147
1601,1.2636945696794477
1621,1.310873058683402
1641,1.3453689968904603
1661,1.2776171919833723
1681,1.3316579369108201
1701,1.282607440861958
1721,1.3105564993375893
1741,1.2557390034068152
1761,1.281382340510083
1781,1.2944345369748589
1801,1.2914357285489615
1821,1.2872556366254997
1841,1.2751532591046162
1861,1.2695285181617986
1881,1.3288366860294072
1901,1.3209271881538955
1921,1.3332513629660854
1941,1.26700436218298
1961,1.3302584013035768
1981,1.3182080286939633
2001,1.3177717134902274
2021,1.301921169215837
2041,1.3236648160482518
2061,1.3137738187040624
2081,1.2427676345239278
2101,1.167517404291483
2121,1.1738022541529078
2141,1.1690911498066319
2161,1.1549252928763831
2181,1.1202123584301458
2201,1.1497373892941607
2221,1.222126370855399
2241,1.2284772507619555
2261,1.1459271946580654
2281,1.137563941735521
2301,1.1476488230259827
2321,1.1980668958591079
2341,1.2215508250561289
2361,1.1885862829923206
2381,1.2776259572687196
2401,1.2832552971863864
2421,1.186389146668423
2441,1.191066315670508
2461,1.2267030062660433
2481,1.2390838023828976
