t,x
0.5,0.3
1,0.29849202115681167
1.5,0.3033788550731506
2,0.31170456646280037
2.5,0.3047133656579806
3,0.31017820617811426
3.5,0.3159161283204359
4,0.3167023417572241
4.5,0.31759380511628177
5,0.3183796943853105
5.5,0.3176622064327281
6,0.3188423143643899
6.5,0.31761606165590667
7,0.31743993561908423
7.5,0.3210832930989922
8,0.32876107484260264
8.5,0.33135704664020205
9,0.3319972671352902
9.5,0.33072273403434865
10,0.3298416757283624
10.5,0.34430641205560125
11,0.3477302664845404
11.5,0.34798557295420435
12,0.3484819026375707
12.5,0.3534338672604515
13,0.3524963488076469
13.5,0.34780092197223067
14,0.35333511365086334
14.5,0.35074024165441653
15,0.3532820039043456
15.5,0.35113048753466547
16,0.3592532417736547
16.5,0.35924051620433106
17,0.3580321233676281
17.5,0.357924936527288
18,0.35207298937404136
18.5,0.3488031647500991
19,0.34062955033335646
19.5,0.3369652475685798
20,0.338482989987487
20.5,0.33913191366915
21,0.34902643149896445
21.5,0.3463685290820486
22,0.34486408027273896
22.5,0.34623743961882925
23,0.34405170927789563
23.5,0.3420728591376669
24,0.3394887065161575
24.5,0.336302369948856
25,0.33673643593984715
25.5,0.33728722299612063
26,0.3315229554492876
26.5,0.3318221004170319
27,0.32961739733093276
27.5,0.3279367182317975
28,0.3303082024132513
28.5,0.3360428292764142
29,0.3468957280954063
29.5,0.34577838483266216
30,0.3564253164209744
30.5,0.35303407757386135
31,0.3589002592271018
31.5,0.3743535339111662
32,0.37624067178067544
32.5,0.3746878791685378
33,0.37671195601439084
33.5,0.38824893514184367
34,0.3837324131985617
34.5,0.39305355632777605
35,0.40213616645158573
35.5,0.40553019302020177
36,0.4069758579205718
36.5,0.40572323280802136
37,0.40501512934829
37.5,0.41015749774212096
38,0.423521053767972
38.5,0.4236742257327345
39,0.41639219950942447
39.5,0.413319258312717
40,0.4160902837010271
40.5,0.4154249499444786
41,0.4155953110592363
41.5,0.4158080851803224
42,0.4089258084441767
42.5,0.4092574624799402
43,0.4155280567065928
43.5,0.42085556938231256
44,0.4252582828670752
44.5,0.4238749852659613
45,0.4237918019508603
45.5,0.41768418553196074
46,0.41854619282932926
46.5,0.4212223563801184
47,0.4325257349832779
47.5,0.4395908475234949
48,0.4373223280000192
48.5,0.44037747482656797
